Jour,Date,Mois,Fête du jour,Evénement / Dicton
Jeudi,1,Janvier,Jour de l'An,Nouvelle année - Calme et claire nuit de l'an à bonne année donne l'élan
Vendredi,2,Janvier,Basile,Janvier d'eau chiche fait le paysan riche
Samedi,3,Janvier,Geneviève,À la Sainte-Geneviève l'hiver s'achève ou se renève
Dimanche,4,Janvier,Odilon,Si l'hiver va droit son chemin vous l'aurez à la Saint-Valentin
Lundi,5,Janvier,Édouard,Jour de l'an beau mois d'août très chaud
Mardi,6,Janvier,Épiphanie,Galette des rois - Si les mouches dansent en janvier ménage ton grenier
Mercredi,7,Janvier,Raymond,Soleil de janvier ne vaut guère
Jeudi,8,Janvier,Lucien,Beau temps en janvier présage un mauvais printemps
Vendredi,9,Janvier,Alix,Janvier sec et sage est un bon présage
Samedi,10,Janvier,Guillaume,Beau ciel en janvier présage beaucoup de vent
Dimanche,11,Janvier,Paulin,Le mois de janvier vaut mieux sans eau
Lundi,12,Janvier,Tatiana,Janvier fait les ponts et février les rompt
Mardi,13,Janvier,Yvette,Poussière de janvier vaut fumier
Mercredi,14,Janvier,Nina,Brouillard en janvier froid en mai
Jeudi,15,Janvier,Rémi,S'il gèle à la Saint-Rémi l'hiver est endormi
Vendredi,16,Janvier,Marcel,Le bon vin se fait en janvier
Samedi,17,Janvier,Roseline,Janvier de pluie chiche fait le paysan riche
Dimanche,18,Janvier,Prisca,Soleil au jour de Sainte-Prisca hiver se retire et printemps avance
Lundi,19,Janvier,Marius,Frais janvier et chaud février amènent bonne récolte au fermier
Mardi,20,Janvier,Sébastien,Jour de la Saint-Sébastien beau temps pour longtemps
Mercredi,21,Janvier,Agnès,À la Sainte-Agnès les jours croissent d'une heure de messe
Jeudi,22,Janvier,Vincent,S'il gèle à la Saint-Vincent le vin monte au sarment
Vendredi,23,Janvier,Barnard,À la Saint-Barnard l'hiver reprend ou se casse les dents
Samedi,24,Janvier,François de Sales,Janvier sans neige bon fermier ne souhaite pas
Dimanche,25,Janvier,Conversion de Saint-Paul,S'il fait beau le jour de la Saint-Paul l'année sera belle et bonne pour tous
Lundi,26,Janvier,Paule,Si janvier ne fait son devoir février fait double emploi
Mardi,27,Janvier,Angèle,Janvier d'eau chiche fait le paysan riche
Mercredi,28,Janvier,Thomas d'Aquin,Les douze premiers jours de janvier indiquent le temps qu'il fera les douze mois de l'année
Jeudi,29,Janvier,Gildas,Frimas de janvier vaut fumier
Vendredi,30,Janvier,Martine,Janvier gris mars pâle bon signe pour la halle
Samedi,31,Janvier,Marcelle,Janvier d'eau chiche fait le paysan riche
Dimanche,1,Février,Ella,Février remplit les fossés
Lundi,2,Février,Chandeleur,À la Chandeleur l'hiver se meurt ou prend vigueur
Mardi,3,Février,Blaise,À la Saint-Blaise l'hiver s'apaise mais s'il redouble et reprend bien fort jusqu'en mars il te tiendra
Mercredi,4,Février,Véronique,Février trop doux printemps en courroux
Jeudi,5,Février,Agathe,À la Sainte-Agathe l'hiver s'abat
Vendredi,6,Février,Gaston,Pluie de février vaut du fumier
Samedi,7,Février,Eugénie,À la Sainte-Eugénie point d'eau à la vigne qui dépérie
Dimanche,8,Février,Jacqueline,Si février est sec prépare tes tonneaux et ton bec
Lundi,9,Février,Apolline,Neige à la Sainte-Apolline famine
Mardi,10,Février,Arnaud,Février trop doux printemps en courroux
Mercredi,11,Février,Notre-Dame de Lourdes,Février neigeux été avantageux
Jeudi,12,Février,Félix,Pluie de février vaut du fumier
Vendredi,13,Février,Béatrice,Février qui neige verra juillet qui vendange
Samedi,14,Février,Valentin,Saint-Valentin - À la Saint-Valentin tous les vents sont marins
Dimanche,15,Février,Claude,Gelée du jour de Saint-Claude rend le vigneron maussade
Lundi,16,Février,Julienne,Février n'a pas deux jours pareils
Mardi,17,Février,Alexis,En février si au soleil ton chat tend sa peau en mars il l'exposera au fourneau
Mercredi,18,Février,Bernadette,Quand février commence en lion il finit comme un mouton
Jeudi,19,Février,Gabin,Si février est chargé d'eau mars sera chargé de vent
Vendredi,20,Février,Aimée,Février trop doux la vendange pour tous
