Tableau 1
;;;;;;
Jour;Date;Mois;Fête du jour;Evénement / Dicton;;
Jeudi;1;Janvier;Jour de l'An;Nouvelle année - Calme et claire nuit de l'an à bonne année donne l'élan;;
Vendredi;2;Janvier;Basile;;;
Samedi;3;Janvier;Geneviève;;;
Dimanche;4;Janvier;Odilon;;;
Lundi;5;Janvier;Édouard;;;
Mardi;6;Janvier;Épiphanie / Mélaine;Galette des rois - Si les mouches dansent en janvier ménage ton grenier;;
Mercredi;7;Janvier;Raymond;;;
Jeudi;8;Janvier;Lucien;;;
Vendredi;9;Janvier;Alix;;;
Samedi;10;Janvier;Guillaume;;;
Dimanche;11;Janvier;Paulin;;;
Lundi;12;Janvier;Tatiana;;;
Mardi;13;Janvier;Yvette;;;
Mercredi;14;Janvier;Nina;;;
Jeudi;15;Janvier;Rémi;;;
Vendredi;16;Janvier;Marcel;;;
Samedi;17;Janvier;Roseline;;;
Dimanche;18;Janvier;Prisca;;;
Lundi;19;Janvier;Marius;;;
Mardi;20;Janvier;Sébastien;Jour de la Saint-Sébastien beau temps pour longtemps;;
Mercredi;21;Janvier;Agnès;;;
Jeudi;22;Janvier;Vincent;S'il gèle à la Saint-Vincent le vin monte au sarment;;
Vendredi;23;Janvier;Barnard;;;
Samedi;24;Janvier;François de Sales;;;
Dimanche;25;Janvier;Conversion de Saint-Paul;S'il fait beau le jour de la Saint-Paul l'année sera belle et bonne pour tous;;
Lundi;26;Janvier;Paule;;;
Mardi;27;Janvier;Angèle;;;
Mercredi;28;Janvier;Thomas d'Aquin;;;
Jeudi;29;Janvier;Gildas;;;
Vendredi;30;Janvier;Martine;;;
Samedi;31;Janvier;Marcelle;Janvier d'eau chiche fait le paysan riche;;
Dimanche;1;Février;Ella;;;
Lundi;2;Février;Chandeleur / Présentation;À la Chandeleur l'hiver se meurt ou prend vigueur;;
Mardi;3;Février;Blaise;À la Saint-Blaise l'hiver s'apaise mais s'il redouble et reprend bien fort jusqu'en mars il te tiendra;;
Mercredi;4;Février;Véronique;;;
Jeudi;5;Février;Agathe;;;
Vendredi;6;Février;Gaston;;;
Samedi;7;Février;Eugénie;;;
Dimanche;8;Février;Jacqueline;;;
Lundi;9;Février;Apolline;;;
Mardi;10;Février;Arnaud;;;
Mercredi;11;Février;Notre-Dame de Lourdes;;;
Jeudi;12;Février;Félix;;;
Vendredi;13;Février;Béatrice;;;
Samedi;14;Février;Valentin;Saint-Valentin - À la Saint-Valentin tous les vents sont marins;;
Dimanche;15;Février;Claude;;;
Lundi;16;Février;Julienne;;;
Mardi;17;Février;Alexis;Mardi Gras;;
Mercredi;18;Février;Bernadette;Mercredi des Cendres;;
Jeudi;19;Février;Gabin;;;
Vendredi;20;Février;Aimée;;;
Samedi;21;Février;Damien;;;
Dimanche;22;Février;Isabelle;;;
Lundi;23;Février;Lazare;;;
Mardi;24;Février;Modeste;À la Saint-Matthias la neige au nord le soleil au midi;;
Mercredi;25;Février;Roméo;;;
Jeudi;26;Février;Nestor;;;
Vendredi;27;Février;Honorine;;;
Samedi;28;Février;Romain;Février neigeux printemps gracieux;;
Dimanche;1;Mars;Aubin;;;
Lundi;2;Mars;Charles le Bon;;;
Mardi;3;Mars;Guénolé;;;
Mercredi;4;Mars;Casimir;;;
Jeudi;5;Mars;Olive;;;
Vendredi;6;Mars;Colette;;;
Samedi;7;Mars;Félicité;;;
Dimanche;8;Mars;Jean de Dieu;Journée internationale des droits des femmes;;
Lundi;9;Mars;Françoise;;;
Mardi;10;Mars;Vivien;;;
Mercredi;11;Mars;Rosine;;;
Jeudi;12;Mars;Justine;Mars sec et beau remplit caves et tonneaux;;
Vendredi;13;Mars;Rodrigue;;;
Samedi;14;Mars;Mathilde;;;
Dimanche;15;Mars;Louise;;;
Lundi;16;Mars;Bénédicte;;;
Mardi;17;Mars;Patrick;Saint-Patrick;;
Mercredi;18;Mars;Cyrille;;;
Jeudi;19;Mars;Joseph;À la Saint-Joseph beau temps promesse de bon an;;
Vendredi;20;Mars;Herbert;Printemps - S'il fait beau à la Saint-Herbert au jardin tout se perd;;
Samedi;21;Mars;Clémence;;;
Dimanche;22;Mars;Léa;;;
Lundi;23;Mars;Victorien;;;
Mardi;24;Mars;Catherine de Suède;;;
Mercredi;25;Mars;Annonciation;Quand il pleut à la Saint-Georges de vin il n'y a guère;;
Jeudi;26;Mars;Larissa;;;
Vendredi;27;Mars;Habib;;;
Samedi;28;Mars;Gontran;;;
Dimanche;29;Mars;Gwladys;Rameaux - Passage à l'heure d'été;;
Lundi;30;Mars;Amédée;;;
Mardi;31;Mars;Benjamin;Quand mars se déguise en été avril prend ses habits fourrés;;
Mercredi;1;Avril;Hugues;Poisson d'avril - En avril ne te découvre pas d'un fil;;
Jeudi;2;Avril;Sandrine;Jeudi Saint;;
Vendredi;3;Avril;Richard;Vendredi Saint;;
Samedi;4;Avril;Isidore;Samedi Saint;;
Dimanche;5;Avril;Irène;Pâques;;
Lundi;6;Avril;Marcellin;Lundi de Pâques;;
Mardi;7;Avril;Jean-Baptiste;;;
Mercredi;8;Avril;Julie;;;
Jeudi;9;Avril;Gautier;;;
Vendredi;10;Avril;Fulbert;;;
Samedi;11;Avril;Stanislas;;;
Dimanche;12;Avril;Jules;;;
Lundi;13;Avril;Ida;;;
Mardi;14;Avril;Maxime;;;
Mercredi;15;Avril;Patern;;;
Jeudi;16;Avril;Benoît-Joseph;;;
Vendredi;17;Avril;Anicet;;;
Samedi;18;Avril;Parfait;;;
Dimanche;19;Avril;Emma;;;
Lundi;20;Avril;Odette;;;
Mardi;21;Avril;Anselme;;;
Mercredi;22;Avril;Alexandre;Pluie d'avril ne vaut pas le bruit d'un sourcil;;
Jeudi;23;Avril;Georges;À la Saint-Georges sème ton orge à la Saint-Marc il est trop tard;;
Vendredi;24;Avril;Fidèle;;;
Samedi;25;Avril;Marc;À la Saint-Marc s'il tombe de l'eau il n'y aura pas de fruits à couteau;;
Dimanche;26;Avril;Alida;;;
Lundi;27;Avril;Zita;;;
Mardi;28;Avril;Valérie;;;
Mercredi;29;Avril;Catherine de Sienne;;;
Jeudi;30;Avril;Robert;Avril pluvieux et mai venteux font l'an fructueux;;
Vendredi;1;Mai;Fête du Travail;Fête du Travail - En mai fait ce qu'il te plaît;;
Samedi;2;Mai;Boris;;;
Dimanche;3;Mai;Philippe;;;
